"CASE_ALERT_ID","CASE_ID","ALERT_ID","LINKED_AT","LINKED_BY"
1,1501,16408,2026-05-25 16:17:32.000,lwang
2,1501,15057,2026-05-25 16:17:32.000,nkumar
3,1502,16618,2026-05-25 16:17:32.000,lwang
4,1502,17864,2026-05-25 16:17:32.000,nkumar
5,1502,18718,2026-05-25 16:17:32.000,lwang
6,1503,15243,2026-05-25 16:17:32.000,nkumar
7,1505,16150,2026-05-25 16:17:32.000,nkumar
8,1506,19670,2026-05-25 16:17:32.000,jsmith
9,1506,18438,2026-05-25 16:17:32.000,mlee
10,1509,19050,2026-05-25 16:17:32.000,jsmith
11,1510,19507,2026-05-25 16:17:32.000,mlee
12,1512,15460,2026-05-25 16:17:32.000,patel_r
13,1512,17065,2026-05-25 16:17:32.000,nkumar
14,1512,18092,2026-05-25 16:17:32.000,nkumar
15,1513,17535,2026-05-25 16:17:32.000,nkumar
16,1514,19578,2026-05-25 16:17:32.000,lwang
17,1514,19530,2026-05-25 16:17:32.000,patel_r
18,1516,17954,2026-05-25 16:17:32.000,mlee
19,1517,16398,2026-05-25 16:17:32.000,patel_r
20,1518,18715,2026-05-25 16:17:32.000,lwang
21,1518,15860,2026-05-25 16:17:32.000,mlee
22,1518,16040,2026-05-25 16:17:32.000,patel_r
23,1520,18183,2026-05-25 16:17:32.000,mlee
24,1522,18143,2026-05-25 16:17:32.000,jsmith
25,1522,19878,2026-05-25 16:17:32.000,agarcia
26,1522,18156,2026-05-25 16:17:32.000,nkumar
27,1522,17961,2026-05-25 16:17:32.000,agarcia
28,1523,16098,2026-05-25 16:17:32.000,jsmith
29,1524,15431,2026-05-25 16:17:32.000,agarcia
30,1524,16767,2026-05-25 16:17:32.000,patel_r
31,1525,15959,2026-05-25 16:17:32.000,mlee
32,1526,15513,2026-05-25 16:17:32.000,mlee
33,1526,18717,2026-05-25 16:17:32.000,obrown
34,1526,15034,2026-05-25 16:17:32.000,lwang
35,1526,17431,2026-05-25 16:17:32.000,patel_r
36,1528,16567,2026-05-25 16:17:32.000,agarcia
37,1529,19157,2026-05-25 16:17:32.000,nkumar
38,1529,15917,2026-05-25 16:17:32.000,agarcia
39,1532,15670,2026-05-25 16:17:32.000,obrown
40,1532,15946,2026-05-25 16:17:32.000,lwang
41,1532,15242,2026-05-25 16:17:32.000,obrown
42,1533,18612,2026-05-25 16:17:32.000,patel_r
43,1533,18498,2026-05-25 16:17:32.000,lwang
44,1533,17876,2026-05-25 16:17:32.000,patel_r
45,1535,16344,2026-05-25 16:17:32.000,agarcia
46,1536,18877,2026-05-25 16:17:32.000,lwang
47,1537,16646,2026-05-25 16:17:32.000,patel_r
48,1538,15296,2026-05-25 16:17:32.000,patel_r
49,1538,16789,2026-05-25 16:17:32.000,lwang
50,1539,19044,2026-05-25 16:17:32.000,obrown
51,1541,18134,2026-05-25 16:17:32.000,nkumar
52,1542,18822,2026-05-25 16:17:32.000,jsmith
53,1545,15582,2026-05-25 16:17:32.000,nkumar
54,1546,17555,2026-05-25 16:17:32.000,patel_r
55,1546,15203,2026-05-25 16:17:32.000,nkumar
56,1546,19579,2026-05-25 16:17:32.000,jsmith
57,1546,17354,2026-05-25 16:17:32.000,jsmith
58,1547,18385,2026-05-25 16:17:32.000,agarcia
59,1548,16357,2026-05-25 16:17:32.000,nkumar
60,1548,17608,2026-05-25 16:17:32.000,patel_r
61,1550,17544,2026-05-25 16:17:32.000,nkumar
62,1553,16716,2026-05-25 16:17:32.000,jsmith
63,1557,19959,2026-05-25 16:17:32.000,patel_r
64,1557,17589,2026-05-25 16:17:32.000,jsmith
65,1557,18505,2026-05-25 16:17:32.000,obrown
66,1558,17679,2026-05-25 16:17:32.000,mlee
67,1558,15385,2026-05-25 16:17:32.000,agarcia
68,1558,19403,2026-05-25 16:17:32.000,mlee
69,1558,19751,2026-05-25 16:17:32.000,mlee
70,1560,19443,2026-05-25 16:17:32.000,mlee
71,1562,19576,2026-05-25 16:17:32.000,lwang
72,1563,15661,2026-05-25 16:17:32.000,lwang
73,1563,18450,2026-05-25 16:17:32.000,jsmith
74,1563,16404,2026-05-25 16:17:32.000,agarcia
75,1564,16647,2026-05-25 16:17:32.000,agarcia
76,1564,17400,2026-05-25 16:17:32.000,agarcia
77,1565,17287,2026-05-25 16:17:32.000,jsmith
78,1566,16428,2026-05-25 16:17:32.000,obrown
79,1567,17765,2026-05-25 16:17:32.000,obrown
80,1568,17641,2026-05-25 16:17:32.000,patel_r
81,1568,15031,2026-05-25 16:17:32.000,nkumar
82,1568,17729,2026-05-25 16:17:32.000,patel_r
83,1569,16103,2026-05-25 16:17:32.000,patel_r
84,1570,19776,2026-05-25 16:17:32.000,nkumar
85,1570,15675,2026-05-25 16:17:32.000,lwang
86,1570,17327,2026-05-25 16:17:32.000,jsmith
87,1571,19799,2026-05-25 16:17:32.000,mlee
88,1571,17518,2026-05-25 16:17:32.000,agarcia
89,1572,15323,2026-05-25 16:17:32.000,obrown
90,1574,15180,2026-05-25 16:17:32.000,mlee
91,1576,15666,2026-05-25 16:17:32.000,mlee
92,1577,17954,2026-05-25 16:17:32.000,patel_r
93,1578,18083,2026-05-25 16:17:32.000,obrown
94,1579,17849,2026-05-25 16:17:32.000,lwang
95,1579,17323,2026-05-25 16:17:32.000,mlee
96,1580,17963,2026-05-25 16:17:32.000,patel_r
97,1581,17029,2026-05-25 16:17:32.000,obrown
98,1583,17855,2026-05-25 16:17:32.000,obrown
99,1583,15822,2026-05-25 16:17:32.000,nkumar
100,1583,15722,2026-05-25 16:17:32.000,agarcia
101,1584,16808,2026-05-25 16:17:32.000,jsmith
102,1584,19746,2026-05-25 16:17:32.000,agarcia
103,1585,18183,2026-05-25 16:17:32.000,jsmith
104,1586,18406,2026-05-25 16:17:32.000,agarcia
105,1587,16444,2026-05-25 16:17:32.000,nkumar
106,1589,18910,2026-05-25 16:17:32.000,obrown
107,1589,18016,2026-05-25 16:17:32.000,lwang
108,1589,17625,2026-05-25 16:17:32.000,patel_r
109,1591,18549,2026-05-25 16:17:32.000,agarcia
110,1591,19000,2026-05-25 16:17:32.000,mlee
111,1593,18568,2026-05-25 16:17:32.000,jsmith
112,1593,16408,2026-05-25 16:17:32.000,nkumar
