"CASE_ID","CASE_UUID","CASE_NUMBER","COMPANY_ID","CASE_TYPE","CASE_PRIORITY","CASE_TITLE","CASE_SUMMARY","TOTAL_FLAGGED_AMOUNT","TRANSACTION_COUNT","ALERT_COUNT","STATUS","OUTCOME","ASSIGNED_ANALYST","REVIEWING_MANAGER","OPENED_AT","DUE_DATE","CLOSED_AT","SAR_FILED","SAR_FILING_DATE","SAR_REFERENCE","CREATED_AT","UPDATED_AT"
1518,e7cdc257-4741-4aa9-9f87-763ef7654758,CASE-000018,1801,SAR,MEDIUM,SAR - Company 3075,Case opened based on risk alerts,2467741.12,3,3,CLOSED,ACCOUNT_CLOSED,analyst_6,manager_5,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1524,"2f076557-6d46-462f-b32d-185203afa0c4",CASE-000024,2276,SAR,HIGH,SAR - Company 121,Case opened based on risk alerts,23617.07,2,2,CLOSED,SAR_FILED,analyst_6,manager_3,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,true,2026-06-19,SAR-707424,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1529,d153f187-4663-41d4-9179-9a9aa0a303ab,CASE-000029,4337,SAR,LOW,SAR - Company 4537,Case opened based on risk alerts,164601.52,2,2,CLOSED,SAR_FILED,analyst_8,manager_3,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,2026-06-19,SAR-816170,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1539,"32e4c503-0ca6-4339-81cc-0a993aed089e",CASE-000039,2073,SAR,MEDIUM,SAR - Company 3080,Case opened based on risk alerts,1118885.45,1,1,OPEN,,analyst_4,manager_2,2026-05-25 16:17:32.000,2026-07-24,,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1555,e3b624bb-05fa-442d-8118-93aeac4b772d,CASE-000055,3563,SAR,MEDIUM,SAR - Company 3521,Case opened based on risk alerts,0.00,0,0,CLOSED,SAR_FILED,analyst_6,manager_3,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,true,2026-06-19,SAR-213307,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1557,"820aadaa-683d-4e66-8a9f-b3cb134ad17e",CASE-000057,1264,SAR,LOW,SAR - Company 3819,Case opened based on risk alerts,292782.12,3,3,CLOSED,CLEARED,analyst_7,manager_5,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1559,"81fe547c-fddd-440b-95e6-cc95a9cb33f5",CASE-000059,294,SAR,MEDIUM,SAR - Company 1166,Case opened based on risk alerts,0.00,0,0,CLOSED,MONITORING,analyst_8,manager_5,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1569,b1553c11-e2ab-4429-abbf-b4ea2e3569c2,CASE-000069,1250,SAR,LOW,SAR - Company 3507,Case opened based on risk alerts,73627.57,1,1,OPEN,,analyst_9,manager_1,2026-05-25 16:17:32.000,2026-07-24,,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1577,"95c1e0d0-4a86-4cd3-a1af-5a92c865b6d5",CASE-000077,1291,SAR,LOW,SAR - Company 688,Case opened based on risk alerts,14.84,1,1,CLOSED,MONITORING,analyst_3,manager_3,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1588,"0f1d3a94-ecac-40b0-852e-a3dfae51f446",CASE-000088,4386,SAR,HIGH,SAR - Company 3183,Case opened based on risk alerts,0.00,0,0,CLOSED,ACCOUNT_CLOSED,analyst_10,manager_4,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1596,"5bf44c44-ea85-4a93-90df-9b6fcf484114",CASE-000096,1310,SAR,HIGH,SAR - Company 4629,Case opened based on risk alerts,0.00,0,0,CLOSED,SAR_FILED,analyst_1,manager_1,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,true,2026-06-19,SAR-090501,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1603,"1ba77ba1-4842-47e3-af0f-fca52aa28a8a",CASE-000103,4303,SAR,MEDIUM,SAR - Company 543,Case opened based on risk alerts,0.00,0,0,CLOSED,SAR_FILED,analyst_9,manager_4,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,true,2026-06-19,SAR-974765,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1607,"0390aa76-0915-448d-8ec4-16df51b5ae98",CASE-000107,731,SAR,MEDIUM,SAR - Company 1442,Case opened based on risk alerts,88173.62,2,2,OPEN,,analyst_4,manager_5,2026-05-25 16:17:32.000,2026-07-24,,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1637,"4177c42f-9eab-498c-b3c4-d7b01c0c06cf",CASE-000137,3409,SAR,LOW,SAR - Company 2445,Case opened based on risk alerts,31335.82,3,3,CLOSED,MONITORING,analyst_9,manager_3,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1659,"74d196db-028e-4a74-b289-84a0540a90d9",CASE-000159,3721,SAR,MEDIUM,SAR - Company 1346,Case opened based on risk alerts,78172.12,2,2,CLOSED,MONITORING,analyst_8,manager_5,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1669,"18f6c59f-9ee2-4d7e-9c02-bad27033d76c",CASE-000169,1863,SAR,LOW,SAR - Company 3147,Case opened based on risk alerts,2000.00,2,2,CLOSED,ACCOUNT_CLOSED,analyst_1,manager_2,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1672,"4c71a018-f7ee-4669-9935-c7dab26859bf",CASE-000172,4833,SAR,HIGH,SAR - Company 3659,Case opened based on risk alerts,593357.25,5,5,CLOSED,SAR_FILED,analyst_4,manager_1,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,true,2026-06-19,SAR-461027,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1677,"2d859066-c1df-47a1-91e3-d30be5ab971e",CASE-000177,3957,SAR,LOW,SAR - Company 2759,Case opened based on risk alerts,0.00,0,0,CLOSED,MONITORING,analyst_1,manager_3,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1679,"964a9458-f40c-46b9-b676-65f43d1673c1",CASE-000179,3812,SAR,MEDIUM,SAR - Company 2406,Case opened based on risk alerts,9303.65,2,2,CLOSED,MONITORING,analyst_9,manager_1,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
1688,"10fc6771-ebfa-4845-8628-a59dde6f36c5",CASE-000188,3356,SAR,HIGH,SAR - Company 90,Case opened based on risk alerts,294589.44,2,2,CLOSED,MONITORING,analyst_10,manager_3,2026-05-25 16:17:32.000,2026-07-24,2026-06-24 16:17:30.000,false,,,2026-06-24 16:17:30.000,2026-06-24 16:17:30.000
