"COUNTRY_ID","COUNTRY_CODE","COUNTRY_NAME","REGION_ID","FATF_STATUS","SANCTIONS_LIST","CORRUPTION_INDEX","RISK_TIER","CREATED_AT","UPDATED_AT"
1,USA,United States,3,MEMBER,false,50.00,LOW,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
2,GBR,United Kingdom,2,MEMBER,false,50.00,LOW,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
3,DEU,Germany,2,MEMBER,false,50.00,LOW,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
4,FRA,France,2,MEMBER,false,50.00,LOW,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
5,JPN,Japan,1,MEMBER,false,50.00,LOW,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
6,SGP,Singapore,1,MEMBER,false,50.00,LOW,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
7,HKG,Hong Kong,1,MEMBER,false,50.00,MEDIUM,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
8,CHE,Switzerland,2,MEMBER,false,50.00,MEDIUM,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
9,CYM,Cayman Islands,3,GREY_LIST,false,50.00,HIGH,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
10,VGB,British Virgin Islands,3,GREY_LIST,false,50.00,HIGH,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
11,PAN,Panama,4,GREY_LIST,false,50.00,HIGH,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
12,ARE,United Arab Emirates,2,GREY_LIST,false,50.00,MEDIUM,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
13,RUS,Russia,2,NON_COMPLIANT,true,50.00,HIGH,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
14,IRN,Iran,2,BLACK_LIST,true,50.00,HIGH,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
15,PRK,North Korea,1,BLACK_LIST,true,50.00,HIGH,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
16,CHN,China,1,MEMBER,false,50.00,MEDIUM,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
17,IND,India,1,MEMBER,false,50.00,MEDIUM,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
18,BRA,Brazil,4,MEMBER,false,50.00,MEDIUM,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
19,AUS,Australia,1,MEMBER,false,50.00,LOW,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
20,CAN,Canada,3,MEMBER,false,50.00,LOW,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
21,NLD,Netherlands,2,MEMBER,false,50.00,LOW,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
22,LUX,Luxembourg,2,MEMBER,false,50.00,MEDIUM,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
23,MYS,Malaysia,1,MEMBER,false,50.00,MEDIUM,2026-06-24 16:17:29.000,2026-06-24 16:17:29.000
