"INDUSTRY_ID","INDUSTRY_CODE","INDUSTRY_NAME","INDUSTRY_SECTOR","INHERENT_RISK_LEVEL","AML_SENSITIVITY","CREATED_AT"
1,FIN,Financial Services,,MEDIUM,MEDIUM,2026-06-24 16:17:29.000
2,TECH,Technology,,LOW,LOW,2026-06-24 16:17:29.000
3,MFG,Manufacturing,,LOW,LOW,2026-06-24 16:17:29.000
4,RET,Retail,,LOW,LOW,2026-06-24 16:17:29.000
5,CONST,Construction,,MEDIUM,MEDIUM,2026-06-24 16:17:29.000
6,RE,Real Estate,,HIGH,HIGH,2026-06-24 16:17:29.000
7,ENERGY,Energy & Mining,,HIGH,HIGH,2026-06-24 16:17:29.000
8,HEALTH,Healthcare,,LOW,LOW,2026-06-24 16:17:29.000
9,TRANS,Transportation,,MEDIUM,MEDIUM,2026-06-24 16:17:29.000
10,GAMING,Gaming & Gambling,,HIGH,HIGH,2026-06-24 16:17:29.000
11,CRYPTO,Cryptocurrency,,HIGH,HIGH,2026-06-24 16:17:29.000
12,JWLRY,Jewelry & Precious Metals,,HIGH,HIGH,2026-06-24 16:17:29.000
13,ART,Art & Antiques,,HIGH,HIGH,2026-06-24 16:17:29.000
14,LEGAL,Legal Services,,MEDIUM,MEDIUM,2026-06-24 16:17:29.000
15,CONSULT,Consulting,,LOW,LOW,2026-06-24 16:17:29.000
16,IMPORT,Import/Export,,HIGH,HIGH,2026-06-24 16:17:29.000
