"ALERT_ID","ALERT_UUID","ALERT_SOURCE","ALERT_TYPE","ALERT_SUBTYPE","TRANSACTION_ID","COMPANY_ID","ALERT_PRIORITY","ALERT_TITLE","ALERT_DESCRIPTION","RISK_DRIVERS","RECOMMENDED_ACTIONS","STATUS","ASSIGNED_TO","ASSIGNED_AT","RESOLUTION_CODE","RESOLUTION_NOTES","RESOLVED_BY","RESOLVED_AT","SLA_DUE_AT","SLA_BREACHED","CREATED_AT","UPDATED_AT"
15002,bf7d17b3-661a-4015-a8bf-2de10a8b0cb0,ML_MODEL,HIGH_RISK_GEOGRAPHY,LAYERING,109556,1138,MEDIUM,Alert for transaction TXN-109556,Risk score 46 exceeded threshold. HIGH_RISK_GEOGRAPHY detected.,[],[],CLOSED_FALSE,analyst_8,2024-05-29 06:08:56.000,FALSE_POSITIVE,No suspicious activity found,analyst_8,2026-06-24 16:17:30.000,2024-06-01 06:08:56.000,false,2024-05-29 06:08:56.000,2026-06-24 16:17:30.000
15005,"55107116-f229-49f5-9477-4ad07c81b4b8",RULE_ENGINE,VELOCITY_ANOMALY,FREQUENCY,61940,3408,HIGH,Alert for transaction TXN-061940,Risk score 81 exceeded threshold. VELOCITY_ANOMALY detected.,[],[],CLOSED_FALSE,analyst_14,2026-04-03 18:11:09.000,FALSE_POSITIVE,No suspicious activity found,analyst_14,2026-06-24 16:17:30.000,2026-04-04 18:11:09.000,false,2026-04-03 18:11:09.000,2026-06-24 16:17:30.000
15007,"2ddb52c6-1dba-45d3-8a3e-526119655c80",ML_MODEL,THRESHOLD_BREACH,FREQUENCY,79992,4674,HIGH,Alert for transaction TXN-079992,Risk score 82 exceeded threshold. THRESHOLD_BREACH detected.,[],[],CLOSED_FALSE,analyst_14,2024-08-29 02:57:33.000,FALSE_POSITIVE,No suspicious activity found,analyst_14,2026-06-24 16:17:30.000,2024-08-30 02:57:33.000,false,2024-08-29 02:57:33.000,2026-06-24 16:17:30.000
15009,"28199777-e026-4d27-a21f-beb58cfb5ba5",RULE_ENGINE,HIGH_RISK_GEOGRAPHY,LAYERING,103284,2758,MEDIUM,Alert for transaction TXN-103284,Risk score 44 exceeded threshold. HIGH_RISK_GEOGRAPHY detected.,[],[],CLOSED_FALSE,analyst_19,2025-03-03 18:35:33.000,FALSE_POSITIVE,No suspicious activity found,analyst_19,2026-06-24 16:17:30.000,2025-03-06 18:35:33.000,false,2025-03-03 18:35:33.000,2026-06-24 16:17:30.000
15010,"42ac76eb-3e1c-46d4-981b-6f2918073935",RULE_ENGINE,VELOCITY_ANOMALY,GEOGRAPHY,54638,4876,HIGH,Alert for transaction TXN-054638,Risk score 89 exceeded threshold. VELOCITY_ANOMALY detected.,[],[],CLOSED_FALSE,analyst_11,2025-09-20 14:22:47.000,FALSE_POSITIVE,No suspicious activity found,analyst_11,2026-06-24 16:17:30.000,2025-09-21 14:22:47.000,false,2025-09-20 14:22:47.000,2026-06-24 16:17:30.000
15012,"42686d6e-5a09-4678-a819-680f92b247b6",ML_MODEL,COUNTERPARTY_RISK,SIZE,72440,2817,CRITICAL,Alert for transaction TXN-072440,Risk score 100 exceeded threshold. COUNTERPARTY_RISK detected.,[],[],CLOSED_TRUE,analyst_13,2024-07-14 21:47:18.000,TRUE_POSITIVE,Suspicious activity confirmed,analyst_13,2026-06-24 16:17:30.000,2024-07-15 01:47:18.000,false,2024-07-14 21:47:18.000,2026-06-24 16:17:30.000
15013,cd7d744f-0fcd-4f62-a293-845dc42ecfe3,RULE_ENGINE,SUSPICIOUS_PATTERN,LAYERING,70438,435,MEDIUM,Alert for transaction TXN-070438,Risk score 51 exceeded threshold. SUSPICIOUS_PATTERN detected.,[],[],CLOSED_FALSE,analyst_2,2024-10-19 14:48:27.000,FALSE_POSITIVE,No suspicious activity found,analyst_2,2026-06-24 16:17:30.000,2024-10-22 14:48:27.000,false,2024-10-19 14:48:27.000,2026-06-24 16:17:30.000
15014,"7b5f01dc-5473-4a62-99f4-17c66e0e6828",ML_MODEL,COUNTERPARTY_RISK,FREQUENCY,20435,634,HIGH,Alert for transaction TXN-020435,Risk score 89 exceeded threshold. COUNTERPARTY_RISK detected.,[],[],CLOSED_TRUE,analyst_19,2025-08-20 01:55:27.000,TRUE_POSITIVE,Suspicious activity confirmed,analyst_19,2026-06-24 16:17:30.000,2025-08-21 01:55:27.000,false,2025-08-20 01:55:27.000,2026-06-24 16:17:30.000
15015,"0b39aa39-4ae7-43ee-b03d-7438d01ddb07",RULE_ENGINE,HIGH_RISK_GEOGRAPHY,STRUCTURING,31297,3961,MEDIUM,Alert for transaction TXN-031297,Risk score 55 exceeded threshold. HIGH_RISK_GEOGRAPHY detected.,[],[],CLOSED_FALSE,analyst_4,2024-05-22 21:06:00.000,FALSE_POSITIVE,No suspicious activity found,analyst_4,2026-06-24 16:17:30.000,2024-05-25 21:06:00.000,false,2024-05-22 21:06:00.000,2026-06-24 16:17:30.000
15016,b5c4f7bf-f3bb-4d6b-8a3d-f56489521d57,RULE_ENGINE,SUSPICIOUS_PATTERN,GEOGRAPHY,33820,2415,MEDIUM,Alert for transaction TXN-033820,Risk score 72 exceeded threshold. SUSPICIOUS_PATTERN detected.,[],[],CLOSED_FALSE,analyst_9,2024-08-31 17:08:13.000,FALSE_POSITIVE,No suspicious activity found,analyst_9,2026-06-24 16:17:30.000,2024-09-03 17:08:13.000,false,2024-08-31 17:08:13.000,2026-06-24 16:17:30.000
15017,"1a07ab0b-0f0f-4602-894e-2275d7373cb8",ML_MODEL,HIGH_RISK_GEOGRAPHY,STRUCTURING,40284,26,MEDIUM,Alert for transaction TXN-040284,Risk score 56 exceeded threshold. HIGH_RISK_GEOGRAPHY detected.,[],[],CLOSED_FALSE,analyst_2,2025-08-20 13:55:37.000,FALSE_POSITIVE,No suspicious activity found,analyst_2,2026-06-24 16:17:30.000,2025-08-23 13:55:37.000,false,2025-08-20 13:55:37.000,2026-06-24 16:17:30.000
15018,"420fb763-1de0-4d0b-beaf-ca849d88e877",ML_MODEL,SUSPICIOUS_PATTERN,INTEGRATION,86122,3511,MEDIUM,Alert for transaction TXN-086122,Risk score 59 exceeded threshold. SUSPICIOUS_PATTERN detected.,[],[],CLOSED_FALSE,analyst_5,2026-03-28 08:47:13.000,FALSE_POSITIVE,No suspicious activity found,analyst_5,2026-06-24 16:17:30.000,2026-03-31 08:47:13.000,false,2026-03-28 08:47:13.000,2026-06-24 16:17:30.000
15019,"2fd96551-2ce9-47a0-b495-601d87aa5942",ML_MODEL,VELOCITY_ANOMALY,GEOGRAPHY,46615,17,MEDIUM,Alert for transaction TXN-046615,Risk score 74 exceeded threshold. VELOCITY_ANOMALY detected.,[],[],CLOSED_FALSE,analyst_11,2026-06-22 14:04:53.000,FALSE_POSITIVE,No suspicious activity found,analyst_11,2026-06-24 16:17:30.000,2026-06-25 14:04:53.000,false,2026-06-22 14:04:53.000,2026-06-24 16:17:30.000
15020,"97b7e659-de56-4fb2-b3dc-bed23f29539f",SANCTIONS,HIGH_RISK_GEOGRAPHY,ROUND_TRIPPING,103231,255,MEDIUM,Alert for transaction TXN-103231,Risk score 52 exceeded threshold. HIGH_RISK_GEOGRAPHY detected.,[],[],CLOSED_FALSE,analyst_17,2024-12-17 04:08:22.000,FALSE_POSITIVE,No suspicious activity found,analyst_17,2026-06-24 16:17:30.000,2024-12-20 04:08:22.000,false,2024-12-17 04:08:22.000,2026-06-24 16:17:30.000
15022,bfd85ab7-01bf-4acd-8d17-4d942dba27f6,RULE_ENGINE,VELOCITY_ANOMALY,PATTERN,133162,525,HIGH,Alert for transaction TXN-133162,Risk score 78 exceeded threshold. VELOCITY_ANOMALY detected.,[],[],CLOSED_TRUE,analyst_2,2024-09-02 00:50:03.000,TRUE_POSITIVE,Suspicious activity confirmed,analyst_2,2026-06-24 16:17:30.000,2024-09-03 00:50:03.000,false,2024-09-02 00:50:03.000,2026-06-24 16:17:30.000
15023,"2242132a-d43d-47d8-9ad8-3a809ca045f9",RULE_ENGINE,HIGH_RISK_GEOGRAPHY,FREQUENCY,142,1496,MEDIUM,Alert for transaction TXN-000142,Risk score 73 exceeded threshold. HIGH_RISK_GEOGRAPHY detected.,[],[],CLOSED_FALSE,analyst_1,2025-03-06 18:53:13.000,FALSE_POSITIVE,No suspicious activity found,analyst_1,2026-06-24 16:17:30.000,2025-03-09 18:53:13.000,false,2025-03-06 18:53:13.000,2026-06-24 16:17:30.000
15024,"969cede5-2e59-4b8d-bb01-511a8fae549a",RULE_ENGINE,VELOCITY_ANOMALY,STRUCTURING,40003,3027,MEDIUM,Alert for transaction TXN-040003,Risk score 34 exceeded threshold. VELOCITY_ANOMALY detected.,[],[],CLOSED_FALSE,analyst_2,2024-09-14 04:37:50.000,FALSE_POSITIVE,No suspicious activity found,analyst_2,2026-06-24 16:17:30.000,2024-09-17 04:37:50.000,false,2024-09-14 04:37:50.000,2026-06-24 16:17:30.000
15025,cfd29d85-21c7-4399-a30e-87fa12416b8b,RULE_ENGINE,VELOCITY_ANOMALY,FREQUENCY,140841,3689,CRITICAL,Alert for transaction TXN-140841,Risk score 90 exceeded threshold. VELOCITY_ANOMALY detected.,[],[],CLOSED_FALSE,analyst_10,2025-08-31 20:29:56.000,FALSE_POSITIVE,No suspicious activity found,analyst_10,2026-06-24 16:17:30.000,2025-09-01 00:29:56.000,false,2025-08-31 20:29:56.000,2026-06-24 16:17:30.000
15026,c54e367b-70c8-4f3d-a5d3-ebd30ad67061,ML_MODEL,SUSPICIOUS_PATTERN,SIZE,49399,4042,CRITICAL,Alert for transaction TXN-049399,Risk score 90 exceeded threshold. SUSPICIOUS_PATTERN detected.,[],[],CLOSED_FALSE,analyst_11,2024-07-01 21:13:52.000,FALSE_POSITIVE,No suspicious activity found,analyst_11,2026-06-24 16:17:30.000,2024-07-02 01:13:52.000,false,2024-07-01 21:13:52.000,2026-06-24 16:17:30.000
15027,f005a992-3f6b-40ce-ac7a-90317386bced,ML_MODEL,VELOCITY_ANOMALY,SIZE,61085,1853,HIGH,Alert for transaction TXN-061085,Risk score 88 exceeded threshold. VELOCITY_ANOMALY detected.,[],[],CLOSED_FALSE,analyst_12,2026-01-27 22:31:32.000,FALSE_POSITIVE,No suspicious activity found,analyst_12,2026-06-24 16:17:30.000,2026-01-28 22:31:32.000,false,2026-01-27 22:31:32.000,2026-06-24 16:17:30.000
15028,be2fb51a-fbf6-48cf-9700-9b8519c295eb,ML_MODEL,VELOCITY_ANOMALY,PATTERN,64943,4481,MEDIUM,Alert for transaction TXN-064943,Risk score 71 exceeded threshold. VELOCITY_ANOMALY detected.,[],[],CLOSED_FALSE,analyst_14,2025-11-26 02:38:56.000,FALSE_POSITIVE,No suspicious activity found,analyst_14,2026-06-24 16:17:30.000,2025-11-29 02:38:56.000,false,2025-11-26 02:38:56.000,2026-06-24 16:17:30.000
15030,cbbe46b8-59ec-4b8e-9de5-231606c16c2a,RULE_ENGINE,COUNTERPARTY_RISK,STRUCTURING,109295,2901,MEDIUM,Alert for transaction TXN-109295,Risk score 56 exceeded threshold. COUNTERPARTY_RISK detected.,[],[],CLOSED_FALSE,analyst_6,2025-06-15 11:59:52.000,FALSE_POSITIVE,No suspicious activity found,analyst_6,2026-06-24 16:17:30.000,2025-06-18 11:59:52.000,false,2025-06-15 11:59:52.000,2026-06-24 16:17:30.000
15031,"8cdfb311-fa7f-41bb-b0a9-d6c504c810bc",RULE_ENGINE,SUSPICIOUS_PATTERN,PATTERN,22734,229,CRITICAL,Alert for transaction TXN-022734,Risk score 100 exceeded threshold. SUSPICIOUS_PATTERN detected.,[],[],CLOSED_FALSE,analyst_7,2026-04-14 21:38:10.000,FALSE_POSITIVE,No suspicious activity found,analyst_7,2026-06-24 16:17:30.000,2026-04-15 01:38:10.000,false,2026-04-14 21:38:10.000,2026-06-24 16:17:30.000
15032,fd799d46-8233-4376-a68d-238ab643c318,SANCTIONS,VELOCITY_ANOMALY,SIZE,67789,2098,CRITICAL,Alert for transaction TXN-067789,Risk score 90 exceeded threshold. VELOCITY_ANOMALY detected.,[],[],CLOSED_TRUE,analyst_3,2024-04-29 00:25:27.000,TRUE_POSITIVE,Suspicious activity confirmed,analyst_3,2026-06-24 16:17:30.000,2024-04-29 04:25:27.000,false,2024-04-29 00:25:27.000,2026-06-24 16:17:30.000
