amount,customer_baseline_amount,transfer_count_30m,new_route,beneficiary_missing,counterparty_risk,suspicious
247500,66892,4,1,1,0.82,1
92400,34600,3,1,0,0.65,1
61250,52100,1,0,0,0.24,0
34800,38100,1,0,0,0.18,0
181500,42100,5,1,1,0.91,1
22400,27900,1,0,0,0.12,0
78000,73000,1,0,0,0.20,0
119900,35200,4,1,0,0.73,1
15750,16800,1,0,0,0.08,0
86500,29800,3,1,1,0.69,1
42500,40100,1,0,0,0.15,0
209000,58400,5,1,1,0.88,1
31500,33000,1,0,0,0.11,0
99000,91000,2,0,0,0.31,0
143000,47500,4,1,0,0.78,1
28600,30100,1,0,0,0.09,0
57000,54900,2,0,0,0.22,0
132500,38800,4,1,1,0.84,1
19800,22500,1,0,0,0.07,0
75500,70200,1,0,0,0.26,0
